Document,Topic_group,Priority
Credentials access denied reset credentials blocked reset password authentication locked out reset all users login locked out.,Access,High
Cloud storage disk space cloud storage missing files disk space whenever whenever.,Storage,Low
Critical crashing asap feedback meeting software error question help slow error.,Miscellaneous,High
Account locked out access denied locked out vpn whenever vpn no rush credentials login access denied vpn account authentication locked out login.,Access,Low
Quota full onedrive full onedrive onedrive cloud storage trivial onedrive cloud storage disk space cloud storage database full drive no rush.,Storage,Low
Whenever suggestion onedrive onedrive backup full disk space.,Storage,Low
Power laptop monitor suggestion keyboard monitor question keyboard paper paper monitor battery printer broken screen printer.,Hardware,Low
Cloud storage cloud storage database quota onedrive backup full missing files onedrive backup.,Storage,Medium
Leave timesheet w2 asap insurance benefits all users insurance pto leave insurance vacation.,HR Support,High
Timesheet vacation insurance vacation vacation question pto timesheet update.,HR Support,Low
Onboarding benefits onboarding timesheet onboarding timesheet suggestion w2 benefits trivial w2 pto.,HR Support,Low
Keyboard monitor update keyboard keyboard printer monitor whenever laptop keyboard mouse printer broken.,Hardware,Low
W2 onboarding insurance leave onboarding benefits asap w2 timesheet onboarding onboarding timesheet w2 emergency.,HR Support,High
Paper laptop battery power screen battery monitor broken broken battery screen power printer laptop.,Hardware,Medium
Account login locked out reset locked out account reset vpn credentials login vpn locked out access denied suggestion no rush access denied.,Access,Low
Onboarding onboarding vacation leave benefits pto insurance insurance timesheet benefits benefits onboarding leave.,HR Support,Medium
Authentication password reset access denied authentication account.,Access,Medium
Access denied account credentials authentication account credentials password credentials.,Access,Medium
Quota disk space backup critical cloud storage full full onedrive missing files quota backup database disk space missing files blocked.,Storage,High
W2 benefits pto onboarding vacation payroll w2 w2 w2 insurance leave benefits.,HR Support,Medium
Paper paper mouse printer keyboard broken paper printer broken.,Hardware,Medium
Slow whenever feedback meeting error error meeting meeting update error software help slow suggestion.,Miscellaneous,Low
Vpn question locked out login locked out update authentication authentication locked out authentication locked out vpn login password credentials reset credentials.,Access,Low
Slow error update meeting update crashing meeting meeting help feedback update error.,Miscellaneous,Medium
Printer no rush screen mouse printer wondering mouse laptop laptop paper monitor screen screen broken.,Hardware,Low
Error feedback software question zoom zoom software zoom.,Miscellaneous,Medium
Update help question software zoom help help feedback slow error meeting help update error slow.,Miscellaneous,Medium
Feedback slow zoom update software update error.,Miscellaneous,Medium
Question monitor broken power broken printer mouse monitor suggestion.,Hardware,Low
Database drive database full disk space cloud storage.,Storage,Medium
Leave w2 w2 w2 w2 whenever payroll payroll timesheet payroll benefits no rush.,HR Support,Low
Wondering w2 payroll insurance question w2 insurance.,HR Support,Low
Zoom software zoom question feedback feedback whenever meeting.,Miscellaneous,Low
Authentication password locked out authentication reset authentication.,Access,Medium
Insurance immediately insurance timesheet onboarding pto w2 pto immediately benefits.,HR Support,High
Update question question software feedback feedback update software emergency error critical help error zoom meeting.,Miscellaneous,High
Onedrive disk space drive backup full suggestion missing files backup no rush.,Storage,Low
Meeting update help help help update software update help help update crashing software.,Miscellaneous,Low
Timesheet insurance onboarding asap vacation insurance timesheet broken.,HR Support,High
Account access denied locked out account locked out login credentials credentials access denied.,Access,Medium
Quota missing files full onedrive cloud storage onedrive database disk space drive cloud storage missing files cloud storage.,Storage,Medium
Mouse mouse laptop laptop paper screen monitor laptop power laptop broken keyboard.,Hardware,Medium
Update question crashing update software error question asap meeting immediately crashing error feedback error error error.,Miscellaneous,High
Suggestion database suggestion database quota missing files database cloud storage drive backup.,Storage,Low
Reset authentication authentication authentication locked out authentication vpn account locked out credentials vpn reset.,Access,Medium
Reset access denied locked out password locked out login wondering locked out vpn login password authentication no rush authentication.,Access,Low
Cloud storage disk space onedrive cloud storage backup drive wondering cloud storage cloud storage quota cloud storage database update disk space database drive.,Storage,Low
